Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1691175788,10,,Aggregated,8.800000,0.000000,160,210,420,440,830,1000,2200,2300,2300,2300,2300,81,0,160.0,313.2454170370369,30.91458100000022,2298.4423930000003,52313.049382716046
1691175789,10,,Aggregated,8.800000,0.000000,160,210,420,440,830,1000,2200,2300,2300,2300,2300,81,0,160.0,313.2454170370369,30.91458100000022,2298.4423930000003,52313.049382716046
1691175790,10,,Aggregated,9.428571,0.000000,150,210,400,440,830,1000,2200,2300,2300,2300,2300,88,0,130.0,297.68694153409075,30.91458100000022,2298.4423930000003,54424.079545454544
1691175791,10,,Aggregated,10.125000,0.000000,150,230,330,440,750,1000,2200,2300,2300,2300,2300,97,0,150.0,292.65793309278337,30.91458100000022,2298.4423930000003,50872.81443298969
1691175792,10,,Aggregated,8.800000,0.000000,130,210,330,440,820,1000,1200,2200,2300,2300,2300,107,0,130.0,291.57379394392507,30.91458100000022,2298.4423930000003,50472.63551401869
1691175793,10,,Aggregated,8.700000,0.000000,130,210,330,440,820,1000,1200,2200,2300,2300,2300,119,0,130.0,293.28639917647035,30.91458100000022,2298.4423930000003,53391.90756302521
1691175795,10,,Aggregated,7.000000,0.000000,140,220,330,450,800,1000,1200,2200,2300,2300,2300,129,0,140.0,293.861999589147,30.91458100000022,2298.4423930000003,54927.3023255814
1691175796,10,,Aggregated,8.500000,0.000000,120,210,330,440,800,1000,1500,2200,2300,2300,2300,146,0,120.0,288.3603465205477,30.91458100000022,2298.4423930000003,56550.0
1691175797,10,,Aggregated,8.500000,0.000000,120,210,320,440,760,1000,1200,2200,2300,2300,2300,151,0,120.0,282.5454676622513,30.91458100000022,2298.4423930000003,55202.470198675495
1691175798,10,,Aggregated,8.500000,0.000000,120,200,320,440,760,1000,1200,2200,2300,2300,2300,159,0,120.0,275.2324904213834,30.91458100000022,2298.4423930000003,56806.6855345912
1691175799,10,,Aggregated,8.400000,0.000000,120,200,310,420,710,1000,1200,2200,2300,2300,2300,171,0,120.0,268.08145660818684,30.91458100000022,2298.4423930000003,55864.69005847953
1691175800,10,,Aggregated,7.800000,0.000000,110,200,290,330,700,950,1200,2200,2300,2300,2300,190,0,110.0,253.08720920526287,30.91458100000022,2298.4423930000003,54893.68421052631
1691175801,10,,Aggregated,8.700000,0.000000,110,200,290,320,670,950,1200,2200,2300,2300,2300,196,0,110.0,249.2421168112242,30.91458100000022,2298.4423930000003,54831.56122448979
