Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175800.045417&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,35.278910999998914,35.278910999998914,35.278910999998914,35.278910999998914,77.0,0.0050082767057978,0.0,35,35,35,35,35,35,35,35,35,35,35
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175800.632864&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,45.722143999999076,45.722143999999076,45.722143999999076,45.722143999999076,77.0,0.0050082767057978,0.0,46,46,46,46,46,46,46,46,46,46,46
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175801.073535&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,117.84000299999775,117.84000299999775,117.84000299999775,117.84000299999775,77.0,0.0050082767057978,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175801.074802&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,117.31758199999831,117.31758199999831,117.31758199999831,117.31758199999831,77.0,0.0050082767057978,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175801.403892&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,84.11856000000029,84.11856000000029,84.11856000000029,84.11856000000029,77.0,0.0050082767057978,0.0,84,84,84,84,84,84,84,84,84,84,84
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175802.254051&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,44.40016699999916,44.40016699999916,44.40016699999916,44.40016699999916,77.0,0.0050082767057978,0.0,44,44,44,44,44,44,44,44,44,44,44
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175802.294044&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,31.508364000000455,31.508364000000455,31.508364000000455,31.508364000000455,77.0,0.0050082767057978,0.0,32,32,32,32,32,32,32,32,32,32,32
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175804.305368&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,59.57903599999881,59.57903599999881,59.57903599999881,59.57903599999881,77.0,0.0050082767057978,0.0,60,60,60,60,60,60,60,60,60,60,60
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175804.841959&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,34.92260799999869,34.92260799999869,34.92260799999869,34.92260799999869,77.0,0.0050082767057978,0.0,35,35,35,35,35,35,35,35,35,35,35
POST,/api.php?__call=playlist.create&share=true&contents=~~pQHQxGEl~&listname=1691175805.2464561&app_version=9.4.0&device_type=iPhone_XR&_format=json&ctx=iphoneapp&_marker=false&v=947&cc=in&network_type=WIFI&tz=asia/kolkata&network_subtype=WIFI&network_operator=jio&is_jio_user=false&api_version=4,1,0,39.85804799999926,39.85804799999926,39.85804799999926,39.85804799999926,77.0,0.0050082767057978,0.0,40,40,40,40,40,40,40,40,40,40,40
